recipe_id,servings,prep_min,cook_min,stnd_min
837,4,3,0,0
838,4,3,0,0
839,4,3,0,0
840,4,3,0,0
841,4,3,0,0
842,4,2,5,0
843,4,3,5,0
844,4,3,10,0
845,4,240,90,0
846,4,240,60,0
847,4,240,60,0
848,4,240,60,0
849,4,240,180,0
850,4,240,60,0
851,4,5,35,0
852,4,240,90,0
853,4,240,60,0
854,4,5,45,0
856,4,5,0,0
857,4,10,0,0
858,4,5,0,0
859,4,0,0,0
860,4,5,0,0
861,4,3,0,0
862,4,0,0,0
863,4,3,0,0
864,4,5,0,0
865,4,5,0,0
866,4,2,0,0
867,4,2,0,0
868,4,2,0,0
869,4,3,0,0
870,4,3,0,0
871,4,0,0,0
872,4,2,0,0
873,4,0,0,0
874,4,3,0,0
875,4,0,0,0
876,4,0,0,0
877,4,2,0,0
879,4,5,0,0
880,4,10,0,0
881,4,10,0,0
882,4,7,0,0
883,4,2,0,0
884,4,2,0,0
885,4,2,0,0
886,4,2,0,0
887,4,2,0,0
888,4,2,0,0
889,4,3,0,0
890,4,2,0,0
891,4,2,0,0
892,4,2,0,0
893,4,3,0,0
894,4,0,0,0
895,4,2,0,0
896,4,3,0,0
897,4,2,0,0
898,4,2,0,0
899,4,0,0,0
900,4,1,0,0
901,4,2,0,0
902,4,0,0,0
903,4,3,0,0
904,4,3,0,0
905,4,3,0,0
906,4,0,0,0
907,4,3,0,0
908,4,2,0,0
909,4,5,0,0
910,4,3,0,0
911,4,3,0,0
912,4,3,0,0
913,4,3,0,0
914,4,3,0,0
915,4,0,0,0
916,4,0,0,0
917,4,5,0,0
918,4,3,0,0
919,4,3,0,0
920,4,3,0,0
921,4,5,0,0
922,4,3,0,0
923,4,2,0,0
924,4,2,0,0
925,4,2,0,0
926,4,0,0,0
927,4,3,0,0
928,4,3,0,0
929,4,3,0,0
930,4,2,0,0
931,4,0,0,0
932,4,3,0,0
933,4,2,0,0
934,4,3,0,0
935,4,3,0,0
936,4,5,0,0
937,4,3,0,0
938,4,3,0,0
939,4,3,0,0
940,4,5,0,0
941,4,3,0,0
942,4,3,0,0
943,4,0,0,0
944,4,2,0,0
945,4,2,0,0
946,4,3,0,0
947,4,3,0,0
948,4,3,0,0
949,4,5,10,0
1020,6,25,0,0
1021,4,60,25,0
1022,4,20,75,0
1023,6,140,40,0
1425,6,3,40,0
1024,4,15,70,0
1025,8,10,9,0
1026,4,30,0,0
1027,6,35,29,180
1028,4,30,30,0
1029,4,20,20,90
1030,8,15,90,0
1031,2,15,25,0
1032,8,15,45,0
1047,6,25,0,0
1062,6,20,0,0
1033,6,20,40,0
1034,6,20,70,0
1035,4,10,55,0
1036,6,15,20,0
1037,6,720,75,0
1038,4,25,0,0
1039,6,20,25,0
1040,4,20,12,0
1041,2,10,10,0
1142,4,5,5,5
1378,12,5,0,0
1395,4,15,0,0
1429,4,0,0,0
1042,8,15,10,0
1043,6,20,40,60
1044,2,10,25,0
1045,15,10,6,0
1046,4,20,30,0
1048,6,130,15,0
1049,4,10,10,0
1050,6,15,15,0
1051,6,20,0,0
1052,4,15,11,0
1053,4,10,93,0
1078,4,20,5,0
1213,36,0,5,0
1352,8,10,0,0
1054,4,10,15,0
1055,4,10,60,0
1057,8,20,48,0
1058,4,15,30,0
1059,4,25,0,120
1060,1,135,30,0
1061,4,10,45,0
1063,4,135,28,0
1064,4,15,30,0
1065,4,20,10,0
1066,4,5,8,0
1351,6,15,0,0
1379,8,5,0,0
1397,6,5,0,0
1398,6,5,0,0
1067,6,15,100,45
1068,4,15,45,0
1069,4,10,23,0
1070,4,15,45,0
1071,4,20,10,0
1072,4,735,40,0
1073,4,20,35,0
1074,2,15,25,0
1075,4,10,40,0
1076,4,25,0,0
1077,10,10,24,0
1085,6,10,20,0
1387,6,15,0,0
1391,4,5,0,0
1396,6,5,0,0
1079,3,10,10,0
1080,8,15,28,0
1081,4,5,10,0
